excluded_item_id,excluded_item_number,excluded_word,singular,contrast,scale,estimate,standard_error,conf_low,conf_high,z_ratio,p_value,p_value_holm
target_08,8,retain,FALSE,Thematic vs Control,probability,0.1214662591836948,0.0624976115759274,-0.0010268086248964442,0.24395932699228606,1.9435344186893813,0.051951620938818804,0.051951620938818804
target_09,9,overlook,FALSE,Grounding vs Thematic,log_odds,0.9738901560571831,0.2816227844077906,0.4219196413920253,1.525860670722341,3.458136947637686,5.439248199070837e-4,0.0010878496398141675
target_09,9,overlook,FALSE,Grounding vs Control,log_odds,1.4544370006745555,0.2791165740979913,0.9073785679542874,2.0014954333948234,5.210858600478296,1.879686771831337e-7,5.639060315494011e-7
target_09,9,overlook,FALSE,Thematic vs Control,log_odds,0.48054684461737235,0.26000051626589754,-0.029044803225607263,0.990138492460352,1.848253424719843,0.06456569005355926,0.06456569005355926
target_09,9,overlook,FALSE,Grounding vs Thematic,probability,0.16759617097793145,0.06022524575519508,0.049556858337675355,0.2856354836181875,2.78282253357969,0.005388827333474693,0.010777654666949386
target_09,9,overlook,FALSE,Grounding vs Control,probability,0.28052411215628614,0.06208616033033669,0.15883747397044684,0.40221075034212544,4.518303445787672,6.233710361139976e-6,1.870113108341993e-5
target_09,9,overlook,FALSE,Thematic vs Control,probability,0.11292794117835459,0.06247735776916371,-0.009525429898429999,0.23538131225513917,1.8075018728479462,0.07068406294559744,0.07068406294559744
target_10,10,engage,FALSE,Grounding vs Thematic,log_odds,0.9375566987789217,0.28552974570211637,0.3779286806878934,1.49718471686995,3.283569270422155,0.0010250145095926097,0.0020500290191852195
target_10,10,engage,FALSE,Grounding vs Control,log_odds,1.5231831391422066,0.282761624958298,0.9689805380139206,2.0773857402704925,5.386809965343945,7.171919287243797e-8,2.151575786173139e-7
target_10,10,engage,FALSE,Thematic vs Control,log_odds,0.5856264403632849,0.26532019288089054,0.06560841794551919,1.1056444627810507,2.2072441377509047,0.027297007685615805,0.027297007685615805
target_10,10,engage,FALSE,Grounding vs Thematic,probability,0.16271378710154627,0.06148529102860098,0.042204831106524676,0.28322274309656786,2.6463855725405456,0.008135702497132736,0.016271404994265472
target_10,10,engage,FALSE,Grounding vs Control,probability,0.30048487544345126,0.0640828677763288,0.17488476257580446,0.4260849883110981,4.689004813146731,2.74536932014851e-6,8.236107960445529e-6
target_10,10,engage,FALSE,Thematic vs Control,probability,0.137771088341905,0.06337331675471986,0.013561669921805325,0.2619805067620047,2.1739605151981287,0.029708100652627724,0.029708100652627724
