excluded_case_index,fit_succeeded,singular,contrast,scale,estimate,standard_error,conf_low,conf_high,z_ratio,p_value,p_value_holm,full_estimate,change_from_full_estimate
15,TRUE,FALSE,Grounding vs Thematic,probability,0.1717564827071031,0.05749672313991212,0.059064976123804624,0.28444798929040155,2.98723950387837,0.0028150908822423197,0.005630181764484639,0.17178085615984195,-2.4373452738868373e-5
15,TRUE,FALSE,Thematic vs Control,probability,0.13197504258263293,0.059931268054942255,0.01451191564713028,0.24943816951813558,2.2021066275728427,0.027657777442218198,0.027657777442218198,0.13245039693265348,-4.753543500205515e-4
16,TRUE,FALSE,Grounding vs Control,log_odds,1.5604293341034132,0.268400890668003,1.0343732549756548,2.0864854132311716,5.813800879049905,6.107005258008137e-9,1.8321015774024412e-8,1.546483993463893,0.013945340639520243
16,TRUE,FALSE,Grounding vs Thematic,log_odds,0.9878600547962093,0.2688680582675405,0.46088834399861334,1.5148317655938053,3.6741443411371195,2.3864780350508043e-4,4.7729560701016086e-4,0.987969539535548,-1.094847393386944e-4
16,TRUE,FALSE,Thematic vs Control,log_odds,0.5725692793072039,0.2507509755945543,0.08110639805359554,1.0640321605608123,2.283417952610505,0.022405760766026447,0.022405760766026447,0.5585144539283451,0.014054825378858826
16,TRUE,FALSE,Grounding vs Control,probability,0.3075161558816494,0.06018729596149528,0.1895512234702656,0.42548108829303316,5.109320014615415,3.2332032472627413e-7,9.699609741788223e-7,0.3042312530924953,0.003284902789154054
16,TRUE,FALSE,Grounding vs Thematic,probability,0.17170353021074591,0.05759468342018499,0.05882002500619718,0.2845870354152946,2.981239239706796,0.0028708442027160623,0.0057416884054321245,0.17178085615984195,-7.732594909604096e-5
16,TRUE,FALSE,Thematic vs Control,probability,0.13581262567090346,0.060035941418874576,0.01814434271195281,0.2534809086298541,2.26218865668034,0.023685749848796754,0.023685749848796754,0.13245039693265348,0.003362228738249984
17,TRUE,FALSE,Grounding vs Control,log_odds,1.5610066059728878,0.26851918634230254,1.0347186715839753,2.0872945403618,5.813389453604815,6.122040589782164e-9,1.836612176934649e-8,1.546483993463893,0.014522612508994781
17,TRUE,FALSE,Grounding vs Thematic,log_odds,0.9886225516875152,0.2689226756816917,0.46154379272525414,1.5157013106497763,3.6762335090615075,2.3670287494245511e-4,4.7340574988491023e-4,0.987969539535548,6.53012151967225e-4
17,TRUE,FALSE,Thematic vs Control,log_odds,0.5723840542853725,0.2508408377178035,0.0807450465066214,1.0640230620641238,2.281861516222912,0.02249751752155347,0.02249751752155347,0.5585144539283451,0.013869600357027445
17,TRUE,FALSE,Grounding vs Control,probability,0.3077977166806076,0.060255550403206466,0.18969900802168504,0.4258964253395302,5.108205212979489,3.252333181773115e-7,9.756999545319344e-7,0.3042312530924953,0.003566463588112301
17,TRUE,FALSE,Grounding vs Thematic,probability,0.1718160826078592,0.05761249246873986,0.058897672309543986,0.28473449290617436,2.982271296474205,0.0028611833133595902,0.0057223666267191805,0.17178085615984195,3.5226448017233736e-5
17,TRUE,FALSE,Thematic vs Control,probability,0.13598163407274833,0.060022794500333265,0.018339118600646326,0.25362414954485035,2.2654998855808572,0.02348202103642215,0.02348202103642215,0.13245039693265348,0.003531237140094845
18,TRUE,FALSE,Grounding vs Control,log_odds,1.510890526598427,0.26829115694098227,0.9850495216235184,2.036731531573335,5.63153308452424,1.786147023552483e-8,5.358441070657449e-8,1.546483993463893,-0.03559346686546605
18,TRUE,FALSE,Grounding vs Thematic,log_odds,0.9864573349669187,0.26865370790349036,0.459905743162934,1.5130089267709033,3.6718545322340685,2.4079673897636484e-4,4.815934779527297e-4,0.987969539535548,-0.0015122045686293273
18,TRUE,FALSE,Thematic vs Control,log_odds,0.5244331916315083,0.2506732856664858,0.033122579838875676,1.0157438034241408,2.092098446937233,0.03642971006757749,0.03642971006757749,0.5585144539283451,-0.034081262296836834
18,TRUE,FALSE,Grounding vs Control,probability,0.29576757723090397,0.05999384231207751,0.17818180700505687,0.41335334745675106,4.929965573672921,8.224410867886241e-7,2.4673232603658722e-6,0.3042312530924953,-0.008463675861591358
18,TRUE,FALSE,Grounding vs Thematic,probability,0.1716765372265061,0.057488717009014235,0.05900072237142301,0.2843523520815892,2.9862648908930636,0.0028240790145131465,0.005648158029026293,0.17178085615984195,-1.0431893333584519e-4
18,TRUE,FALSE,Thematic vs Control,probability,0.12409104000439775,0.059929132471917196,0.006632098734710212,0.24154998127408528,2.0706296735155783,0.038393416924328856,0.038393416924328856,0.13245039693265348,-0.008359356928255735
19,TRUE,FALSE,Grounding vs Control,log_odds,1.5272271505067345,0.26776811801736633,1.002411282984626,2.052043018028843,5.703543654915948,1.1734196789037828e-8,3.5202590367113485e-8,1.546483993463893,-0.01925684295715846
19,TRUE,FALSE,Grounding vs Thematic,log_odds,0.9859491634990319,0.26836569163678536,0.4599620732047508,1.511936253793313,3.673901673070218,2.3887468684364582e-4,4.7774937368729164e-4,0.987969539535548,-0.0020203760365160583
19,TRUE,FALSE,Thematic vs Control,log_odds,0.5412779870077026,0.2500976956076773,0.05109551100019388,1.0314604630152113,2.164266190828057,0.030443925906135955,0.030443925906135955,0.5585144539283451,-0.017236466920642513
19,TRUE,FALSE,Grounding vs Control,probability,0.2998203410721375,0.059843081002119075,0.18253005758407104,0.417110624560204,5.010108705157087,5.43992989516102e-7,1.6319789685483062e-6,0.3042312530924953,-0.004410912020357816
19,TRUE,FALSE,Grounding vs Thematic,probability,0.1717752759987724,0.05740390078575064,0.05926569788659067,0.28428485411095417,2.992397270002462,0.002767958075288394,0.005535916150576788,0.17178085615984195,-5.580161069551615e-6
